"id","code"
1,"29260"
2,"47900"
3,"35656"
4,"51727"
5,"95065"
6,"27828"
7,"33853"
8,"28086"
9,"37700"
10,"28062"
11,"91034"
12,"22859"
13,"70557"
14,"23575"
15,"36420"
16,"36560"
17,"42826"
18,"46700"
19,"99496"
20,"35695"
21,"45338"
22,"63047"
23,"31638"
24,"36513"
25,"33264"
26,"35665"
27,"61516"
28,"99219"
29,"33227"
30,"72193"
31,"48120"
32,"65103"
33,"43770"
34,"23031"
35,"29860"
36,"74170"
37,"76000"
38,"78227"
39,"92541"
40,"35566"
41,"64461"
42,"93568"
43,"49323"
44,"76516"
45,"G0408"
46,"24360"
47,"54115"
48,"46200"
49,"51030"
50,"28047"
51,"31554"
52,"64721"
53,"17263"
54,"48153"
55,"27759"
56,"91132"
57,"52301"
58,"24220"
59,"63664"
60,"76930"
61,"28035"
62,"33271"
63,"26705"
64,"31002"
65,"51703"
66,"92230"
67,"47381"
68,"43241"
69,"25929"
70,"88314"
71,"93283"
72,"60520"
73,"95076"
74,"19260"
75,"27618"
76,"28003"
77,"31553"
78,"28124"
79,"25800"
80,"35693"
81,"33620"
82,"G0118"
83,"20956"
84,"40845"
85,"28545"
86,"32220"
87,"11100"
88,"65222"
89,"37193"
90,"77076"
91,"93284"
92,"20663"
93,"26548"
94,"94761"
95,"64418"
96,"33511"
97,"95951"
98,"22867"
99,"44386"
100,"46320"
101,"96372"
102,"69740"
103,"69806"
104,"27175"
105,"35226"
106,"93602"
107,"25310"
108,"95887"
109,"67909"
110,"85390"
111,"26531"
112,"59812"
113,"72131"
114,"33622"
115,"12002"
116,"33229"
117,"33471"
118,"33774"
119,"11312"
120,"16036"
121,"77003"
122,"21740"
123,"24666"
124,"78271"
125,"91133"
126,"64450"
127,"43194"
128,"88375"
129,"99214"
130,"78111"
131,"76700"
132,"57700"
133,"47540"
134,"61598"
135,"99354"
136,"21627"
137,"23480"
138,"67830"
139,"33891"
140,"25446"
141,"51820"
142,"45116"
143,"59856"
144,"67400"
145,"97036"
146,"33406"
147,"28116"
148,"27690"
149,"21030"
150,"44660"
151,"28820"
152,"70542"
153,"23078"
154,"26372"
155,"43888"
156,"25119"
157,"27331"
158,"28645"
159,"47700"
160,"61517"
161,"44376"
162,"52400"
163,"76816"
164,"93280"
165,"75600"
166,"92588"
167,"27769"
168,"46500"
169,"30410"
170,"31529"
171,"35533"
172,"42890"
173,"44378"
174,"63700"
175,"21047"
176,"33860"
177,"50610"
178,"23530"
179,"77600"
180,"27752"
181,"31781"
182,"21557"
183,"42892"
184,"26140"
185,"75820"
186,"29897"
187,"93460"
188,"92060"
189,"33361"
190,"27499"
191,"20206"
192,"35306"
193,"21355"
194,"95148"
195,"37239"
196,"92516"
197,"93463"
198,"20150"
199,"92225"
200,"93571"
201,"11765"
202,"23000"
203,"27409"
204,"76830"
205,"35112"
206,"35903"
207,"28264"
208,"95170"
209,"23616"
210,"23182"
211,"31370"
212,"22224"
213,"44700"
214,"50690"
215,"93350"
216,"51596"
217,"36120"
218,"12006"
219,"23491"
220,"33953"
221,"69222"
222,"75902"
223,"88173"
224,"69320"
225,"28476"
226,"92512"
227,"62161"
228,"34201"
229,"94770"
230,"33991"
231,"58548"
232,"52250"
233,"19340"
234,"99416"
235,"11307"
236,"70552"
237,"69666"
238,"73070"
239,"74246"
240,"12013"
241,"85097"
242,"31805"
243,"33813"
244,"97018"
245,"28002"
246,"61055"
247,"22810"
248,"54560"
249,"61690"
250,"29358"
251,"27147"
252,"50553"
253,"86255"
254,"15620"
255,"41105"
256,"27664"
257,"15004"
258,"59030"
259,"53661"
260,"G0202"
261,"67030"
262,"21825"
263,"66635"
264,"92555"
265,"11755"
266,"41019"
267,"67420"
268,"27372"
269,"26392"
270,"49000"
271,"29700"
272,"11982"
273,"28505"
274,"93455"
275,"64712"
276,"36474"
277,"51500"
278,"26356"
279,"33220"
280,"66174"
281,"63088"
282,"43752"
283,"79445"
284,"21060"
285,"52601"
286,"62268"
287,"72197"
288,"11730"
289,"22015"
290,"96371"
291,"26508"
292,"53449"
293,"52277"
294,"73721"
295,"97032"
296,"G0444"
297,"93312"
298,"35560"
299,"35152"
300,"60225"
301,"28320"
302,"36479"
303,"33676"
304,"69450"
305,"70140"
306,"20955"
307,"27517"
308,"24341"
309,"37616"
310,"42405"
311,"64840"
312,"25608"
313,"64617"
314,"33688"
315,"58554"
316,"27422"
317,"11920"
318,"31613"
319,"40816"
320,"21296"
321,"36261"
322,"27722"
323,"63741"
324,"21550"
325,"15956"
326,"75827"
327,"32151"
328,"28190"
329,"71551"
330,"84182"
331,"97140"
332,"54380"
333,"63303"
334,"37217"
335,"95822"
336,"27598"
337,"74710"
338,"65860"
339,"33365"
340,"29720"
341,"44626"
342,"93621"
343,"30600"
344,"25230"
345,"26437"
346,"51728"
347,"93282"
348,"61623"
349,"42182"
350,"50525"
351,"73200"
352,"90839"
353,"95940"
354,"27447"
355,"95867"
356,"35860"
357,"58100"
358,"43243"
359,"61545"
360,"77417"
361,"33917"
362,"99462"
363,"50396"
364,"50240"
365,"96368"
366,"31661"
367,"61105"
368,"74235"
369,"28495"
370,"49585"
371,"51570"
372,"36800"
373,"99195"
374,"25415"
375,"27698"
376,"97026"
377,"59025"
378,"75736"
379,"G0237"
380,"15786"
381,"42335"
382,"63045"
383,"28292"
384,"26590"
385,"58285"
386,"54300"
387,"26990"
388,"50972"
389,"53060"
390,"46940"
391,"27437"
392,"59160"
393,"92562"
394,"63016"
395,"G0341"
396,"55150"
397,"79101"
398,"20555"
399,"49540"
400,"54680"
401,"32655"
402,"37237"
403,"28415"
404,"32852"
405,"78195"
406,"29445"
407,"43825"
408,"51725"
409,"15005"
410,"26185"
411,"64734"
412,"40525"
413,"50225"
414,"31605"
415,"22610"
416,"44955"
417,"31575"
418,"44388"
419,"26785"
420,"46615"
421,"31230"
422,"60281"
423,"42426"
424,"38241"
425,"52204"
426,"52356"
427,"G6014"
428,"22318"
429,"28341"
430,"33415"
431,"58200"
432,"64462"
433,"36500"
434,"27825"
435,"54057"
436,"93565"
437,"35180"
438,"93926"
439,"26113"
440,"61050"
441,"29000"
442,"37182"
443,"29075"
444,"32671"
445,"95913"
446,"73630"
447,"88319"
448,"88332"
449,"33207"
450,"34490"
451,"76872"
452,"17340"
453,"20822"
454,"29868"
455,"15738"
456,"90969"
457,"32141"
458,"46760"
459,"49561"
460,"69840"
461,"90997"
462,"68510"
463,"25112"
464,"44404"
465,"63273"
466,"51785"
467,"70492"
468,"61624"
469,"43214"
470,"61700"
471,"93298"
472,"63048"
473,"76936"
474,"21337"
475,"25492"
476,"36473"
477,"57105"
478,"21070"
479,"27445"
480,"42281"
481,"20950"
482,"27519"
483,"G6009"
484,"22614"
485,"75870"
486,"44210"
487,"67228"
488,"26025"
489,"27784"
490,"59072"
491,"92611"
492,"54860"
493,"74260"
494,"74400"
495,"28111"
496,"94003"
497,"27335"
498,"35045"
499,"45113"
500,"61514"
501,"66130"
502,"26037"
503,"52285"
504,"43101"
505,"64489"
506,"43887"
507,"63270"
508,"92920"
509,"29035"
510,"37160"
511,"66600"
512,"21076"
513,"32673"
514,"45391"
515,"64421"
516,"33284"
517,"93975"
518,"33926"
519,"73220"
520,"25370"
521,"93229"
522,"45500"
523,"36584"
524,"68540"
525,"43198"
526,"93600"
527,"26020"
528,"74301"
529,"59412"
530,"26545"
531,"27487"
532,"54640"
533,"63087"
534,"27824"
535,"21150"
536,"26670"
537,"26500"
538,"36832"
539,"37607"
540,"74000"
541,"93313"
542,"22902"
543,"29848"
544,"15278"
545,"33645"
546,"69552"
547,"33979"
548,"70450"
549,"94200"
550,"99497"
551,"55801"
552,"26489"
553,"27252"
554,"57305"
555,"94015"
556,"41806"
557,"61530"
558,"47135"
559,"78815"
560,"57511"
561,"88361"
562,"63056"
563,"71250"
564,"57000"
565,"92614"
566,"58543"
567,"15934"
568,"27457"
569,"31603"
570,"26105"
571,"33416"
572,"95145"
573,"26426"
574,"67141"
575,"96913"
576,"25405"
577,"93622"
578,"37790"
579,"84165"
580,"35508"
581,"15240"
582,"26412"
583,"20606"
584,"33321"
585,"61888"
586,"28113"
587,"27090"
588,"76770"
589,"52007"
590,"21261"
591,"24620"
592,"61597"
593,"99498"
594,"46946"
595,"21100"
596,"64520"
597,"43305"
598,"G0279"
599,"35281"
600,"G0121"
601,"28446"
602,"31020"
603,"51101"
604,"21600"
605,"64416"
606,"41140"
607,"32442"
608,"26070"
609,"73219"
610,"44050"
611,"97802"
612,"24545"
613,"31294"
614,"92626"
615,"96405"
616,"26553"
617,"27306"
618,"72127"
619,"77336"
620,"G0506"
621,"17274"
622,"21344"
623,"27607"
624,"43632"
625,"59866"
626,"25394"
627,"95990"
628,"23150"
629,"29804"
630,"57505"
631,"35190"
632,"97168"
633,"43217"
634,"24130"
635,"45119"
636,"92133"
637,"25635"
638,"38794"
639,"45910"
640,"66184"
641,"27756"
642,"34501"
643,"24605"
644,"29055"
645,"43754"
646,"62321"
647,"58820"
648,"27339"
649,"67902"
650,"34051"
651,"50380"
652,"31070"
653,"64821"
654,"99336"
655,"28171"
656,"34451"
657,"21267"
658,"28606"
659,"11623"
660,"27705"
661,"61616"
662,"62117"
663,"19030"
664,"35663"
665,"11403"
666,"25001"
667,"G0446"
668,"97163"
669,"38570"
670,"91110"
671,"44160"
672,"67880"
673,"57023"
674,"43279"
675,"77058"
676,"93616"
677,"G0117"
678,"93724"
679,"88304"
680,"19357"
681,"43325"
682,"65810"
683,"78814"
684,"20664"
685,"30801"
686,"41512"
687,"76942"
688,"96374"
689,"88121"
690,"66150"
691,"21616"
692,"21282"
693,"33802"
694,"43113"
695,"48105"
696,"11308"
697,"49582"
698,"22862"
699,"51980"
700,"61140"
701,"20957"
702,"38381"
703,"43202"
704,"28313"
705,"43351"
706,"28705"
707,"68420"
708,"27282"
709,"73564"
710,"95911"
711,"88355"
712,"12037"
713,"27197"
714,"45386"
715,"92242"
716,"15789"
717,"27358"
718,"27612"
719,"38206"
720,"70220"
721,"77086"
722,"88112"
723,"67430"
724,"32608"
725,"32150"
726,"33863"
727,"45402"
728,"73040"
729,"58322"
730,"99480"
731,"51555"
732,"11440"
733,"21142"
734,"32554"
735,"21423"
736,"24600"
737,"51575"
738,"27871"
739,"33615"
740,"76377"
741,"58953"
742,"64891"
743,"46250"
744,"47701"
745,"26520"
746,"72149"
747,"93642"
748,"92974"
749,"35302"
750,"33140"
751,"43247"
752,"50435"
753,"93303"
754,"74250"
755,"93567"
756,"95953"
757,"11720"
758,"69145"
759,"61799"
760,"27006"
761,"33517"
762,"50080"
763,"38300"
764,"51720"
765,"62290"
766,"99357"
767,"51710"
768,"93583"
769,"16035"
770,"26230"
771,"26852"
772,"91117"
773,"35211"
774,"37234"
775,"46262"
776,"63172"
777,"76970"
778,"50620"
779,"55041"
780,"31825"
781,"36593"
782,"62160"
783,"29822"
784,"92627"
785,"33120"
786,"33606"
787,"11603"
788,"24560"
789,"72255"
790,"77071"
791,"66160"
792,"71260"
793,"92020"
794,"23140"
795,"50400"
796,"27415"
797,"31641"
798,"92286"
799,"30125"
800,"97803"
801,"67320"
802,"27832"
803,"28465"
804,"29200"
805,"64417"
806,"63005"
807,"58752"
808,"67882"
809,"69020"
810,"64650"
811,"43361"
812,"66990"
813,"93592"
814,"25071"
815,"99205"
816,"45327"
817,"56605"
818,"29851"
819,"35184"
820,"92596"
821,"G0405"
822,"21122"
823,"27734"
824,"35879"
825,"99461"
826,"73523"
827,"20665"
828,"50543"
829,"15116"
830,"15220"
831,"33464"
832,"35701"
833,"G0447"
834,"11732"
835,"99318"
836,"34802"
837,"49428"
838,"77605"
839,"77338"
840,"38562"
841,"31630"
842,"30120"
843,"30920"
844,"92326"
845,"70120"
846,"20982"
847,"36820"
848,"27386"
849,"G0364"
850,"63662"
851,"61537"
852,"29280"
853,"64822"
854,"26550"
855,"93982"
856,"50548"
857,"57454"
858,"63610"
859,"76998"
860,"21049"
861,"97542"
862,"88329"
863,"93452"
864,"99475"
865,"23490"
866,"43425"
867,"63055"
868,"44213"
